#name	name2
NM_032291	SGIP1
NR_026821	FAM138B
NR_000029	RPL23AP7
NM_006773	DDX18
NM_182915	STEAP3
NM_001008410	STEAP3
NR_027181	LINC01101
NM_001001665	CYP27C1
NM_004805	POLR2D
NM_020120	UGGT1
NR_027671	UGGT1
NM_004807	HS6ST1
NR_026758	FAR2P1
NR_036537	RAB6C-AS1
NR_110285	LOC101927924
NM_001099771	POTEF
NR_046259	FAR2P2
NR_046258	FAR2P2
NM_033416	IMP4
NR_103761	CYP4F62P
NR_104471	CCDC115
NM_001277406	POTEI
NR_023391	CYP4F30P
NM_001105193	AMER3
NM_138770	CCDC74A
NR_108087	LINC01087
NM_214461	C2orf27B
NM_001018044	MAP3K19
NR_110199	DARS-AS1
NM_015702	MMADHC
NM_012097	ARL5A
NM_177985	ARL5A
NM_001037174	ARL5A
NM_005843	STAM2
NM_001256368	LOC100144595
NM_001009959	ERMN
NM_001017920	DAPL1
NM_022168	IFIH1
NM_152384	BBS5
NM_004792	PPIG
NM_001199286	PHOSPHO2
NM_001201428	GORASP2
NM_001271786	DYNC1I2
NM_001271789	DYNC1I2
NM_001271788	DYNC1I2
NM_001271787	DYNC1I2
NM_000210	ITGA6
NM_001079818	ITGA6
NM_002610	PDK1
NR_103731	PDK1
NR_026995	RAPGEF4-AS1
NR_038897	LINC01305
NM_152529	GPR155
NM_024583	SCRN3
NM_194247	HNRNPA3
NR_026966	LOC100130691
NM_019091	PLEKHA3
NM_133379	TTN
NM_001142314	DUSP19
NR_110226	LOC101927482
NR_110225	LOC101927482
NR_046837	ANKRD44-IT1
NM_199440	HSPD1
NM_002157	HSPE1
NR_110270	LOC101927641
NM_001160046	SGOL2
NM_014670	BZW1
NM_001207069	BZW1
NM_001207067	BZW1
NM_001202515	CFLAR
NM_032976	CASP10
NM_001127183	CFLAR
NM_001202518	CFLAR
NM_033356	CASP8
NM_001080125	CASP8
NM_001206864	STRADB
NM_177538	CYP20A1
NM_014929	FASTKD2
NM_001136194	FASTKD2
NM_001127395	METTL21A
NM_145280	METTL21A
NM_003468	FZD5
NM_006891	CRYGD
NM_001136575	LANCL1
NM_001242575	LOC100130451
NM_018000	MREG
NM_001142312	TMEM169
NR_110392	LINC01280
NR_034176	RUFY4
NR_002712	CXCR2P1
NM_000634	CXCR1
NM_000578	SLC11A1
NM_198559	CATIP
NM_022572	PNKD
NM_017521	FEV
NM_024782	NHEJ1
NM_015680	CNPPD1
NM_024293	FAM134A
NM_001278552	TUBA4A
NM_001286423	GLB1L
NM_001008910	STK16
NM_080671	KCNE4
NM_022915	MRPL44
NR_073116	SERPINE2
NM_001257198	CUL3
NR_102371	LOC654841
NM_020161	C2orf83
NM_007237	SP140
NM_001206704	SP100
NR_040038	LOC151475
NR_038238	LOC151484
NM_005683	GPR55
NR_033879	SPATA3-AS1
NM_005381	NCL
NM_001099285	PTMA
NM_001631	ALPI
NM_145702	TIGD1
NM_002242	KCNJ13
NR_033308	RAB17
NM_022449	RAB17
NM_016510	SCLY
NM_198582	KLHL30
NM_194312	ESPNL
NM_022817	PER2
NM_015650	TRAF3IP1
NR_037809	LINC01107
NR_034162	FLJ43879
NR_037808	LOC150935
NM_001005853	OR6B2
NM_001163424	MYEOV2
NM_002081	GPC1
NM_001033575	DUSP28
NR_103792	CAPN10-AS1
NM_001102467	AQP12B
NR_033841	LOC200772
NM_001252124	PASK
NM_015148	PASK
NM_001001891	ANO7
NM_001008492	SEPT2
NM_013325	ATG4B
NM_032329	ING5
NM_173821	RTP5
NM_001042383	CEP63
NM_001207044	CLASP2
NM_015429	ABI3BP
NM_018189	DPPA4
NM_001009921	VPS8
NM_053002	MED12L
NM_175724	IL5RA
NM_001195099	ANKRD28
NM_182523	CMC1
NM_001003793	RBMS3
NM_001141947	CCDC66
NM_001012506	CCDC66
NR_024460	CCDC66
NM_001256505	CADM2
NM_001256502	CADM2
NM_181780	BTLA
NM_001085357	BTLA
NR_046079	SEMA5B
NM_016128	COPG1
NR_024016	PQLC2L
NM_001205194	MECOM
NM_001163999	MECOM
NM_001135095	FNDC3B
NM_001164000	MECOM
NR_047568	LINC00578
NM_021032	FGF12
NM_012287	ACAP2
NM_015562	UBXN7
NM_006614	CHL1
NM_002222	ITPR1
NM_001099952	ITPR1
NM_001164675	SUMF1
NM_001168272	ITPR1
NR_110131	LOC101927394
NM_001136232	SEC13
NM_001278946	SEC13
NM_001570	IRAK2
NM_001098213	HRH1
NM_001098212	HRH1
NM_014229	SLC6A11
NM_012298	CAND2
NR_027103	LINC00620
NM_004844	SH3BP5
NM_152396	METTL6
NM_054110	GALNT15
NM_001190811	DAZL
NM_003884	KAT2B
NM_001252634	THRB
NM_001128177	THRB
NR_038840	LINC00693
NM_001024847	TGFBR2
NM_006371	CRTAP
NM_003149	STAC
NM_002295	RPSA
NR_033965	EIF1B-AS1
NM_001284426	MYRIP
NM_016598	ZDHHC3
NM_001135179	ZDHHC3
NM_001145030	TOPAZ1
NM_003420	ZNF35
NM_014016	SACM1L
NM_024513	FYCO1
NR_075080	LZTFL1
NM_001123041	CCR2
NM_003074	SMARCC1
NM_153273	IP6K1
NM_003458	BSN
NM_025222	WDR82
NM_016329	SFMBT1
NM_022908	NT5DC2
NM_006254	PRKCD
NM_018397	CHDH
NM_017563	IL17RD
NM_001128615	ARHGEF3
NM_012096	APPL1
NM_001289095	PXK
NM_001164319	FLNB
NM_001457	FLNB
NM_004944	DNASE1L3
NR_038282	PTPRG-AS1
NM_182920	ADAMTS9
NR_038264	ADAMTS9-AS2
NM_003848	SUCLG2
NR_109992	SUCLG2-AS1
NM_001005527	FAM19A4
NM_015123	FRMD4B
NR_046752	CADM2-AS2
NM_000097	CPOX
NR_015394	LINC00636
NM_014429	MORC1
NM_014981	MYH15
NM_014648	DZIP3
NR_109841	LINC01205
NM_001243288	PVRL3
NM_198196	CD96
NM_001004196	CD200
NR_027794	C3orf17
NM_033254	BOC
NM_001690	ATP6V1A
NM_001009899	KIAA2018
NM_152538	IGSF11
NM_005191	CD80
NM_173825	RABL3
NM_001099678	LRRC58
NM_199420	POLQ
NM_138287	DTX3L
NM_001199642	ADCY5
NM_053026	MYLK
NM_053032	MYLK
NM_053028	MYLK
NM_053027	MYLK
NM_053025	MYLK
NR_038266	MYLK-AS1
NM_024628	SLC12A8
NM_021964	ZNF148
NM_001195483	SLC12A8
NM_001165974	UROC1
NM_052883	TXNRD3
NM_032242	PLXNA1
NM_207335	KBTBD12
NR_034179	LOC653712
NR_003111	RPL32P3
NM_001278298	COL6A5
NM_153264	COL6A5
NM_001102608	COL6A6
NR_037804	NPHP3-ACAD11
NM_001278685	AMOTL2
NM_005630	SLCO2A1
NM_001005861	RYK
NM_004441	EPHB1
NM_001288965	CEP70
NM_022131	CLSTN2
NM_001178139	TFDP2
NM_139048	HLTF
NM_001168278	WWTR1
NR_024066	CLRN1-AS1
NR_037901	ARHGEF26-AS1
NR_038387	LINC00886
NM_001167911	VEPH1
NM_001004316	LEKR1
NM_001042706	IQCJ
NR_108088	IL12A-AS1
NR_021485	EGFEM1P
NM_002740	PRKCI
NM_020949	SLC7A14
NM_001164436	TMEM212
NM_003810	TNFSF10
NM_024665	TBL1XR1
NM_016331	ZNF639
NM_006218	PIK3CA
NM_014398	LAMP3
NM_015078	MCF2L2
NM_130446	KLHL6
NM_001242314	MAP3K13
NM_001242317	MAP3K13
NM_001025266	C3orf70
NM_001166415	EHHADH
NM_006548	IGF2BP2
NM_001007225	IGF2BP2
NM_173216	ST6GAL1
NM_001167672	LPP
NM_005578	LPP
NM_001167671	LPP
NM_198485	TPRG1
NM_001146686	GMNC
NM_178335	CCDC50
NM_174908	CCDC50
NM_032279	ATP13A4
NM_152531	XXYLT1
NM_004488	GP5
NR_003264	SDHAP1
NM_152699	SENP5
NM_005929	MFI2
NM_152617	RNF168
NM_203314	BDH1
NM_004051	BDH1
NR_003291	ANKRD18DP
NM_016302	CRBN
NM_001173482	CRBN
NM_020873	LRRN1
NM_001243723	SETMAR
NM_006515	SETMAR
NR_004428	EGOT
NM_001114092	THUMPD3
NM_022094	CIDEC
NM_001198793	ARPC4-TTLL3
NM_001025930	TTLL3
NM_001008737	LOC401052
NM_014760	TATDN2
NR_073567	GHRLOS
NR_027102	LINC00606
NM_001145393	TSEN2
NM_001271707	MKRN2
NM_001284406	TMEM40
NM_000994	RPL32
NM_024827	HDAC11
NM_024334	TMEM43
NR_110135	LINC01267
NR_046254	FGD5-AS1
NM_022340	RBSN
NR_046084	SH3BP5-AS1
NR_027927	COL6A4P1
NM_033083	EAF1
NM_001195470	SATB1
NM_004162	RAB5A
NR_036086	MIR3135A
NM_001199255	SGOL1
NM_001012409	SGOL1
NR_002311	VENTXP7
NM_020345	NKIRAS1
NM_001253384	RPL15
NM_001253379	RPL15
NM_001145425	NR1D2
NR_109804	RBMS3-AS3
NM_001137674	ZNF860
NM_015141	GPD1L
NM_000404	GLB1
NM_015551	SUSD5
NM_015873	VILL
NR_028389	ACVR2B-AS1
NR_103505	MOBP
NR_103506	MOBP
NM_001248	ENTPD3
NM_198484	ZNF621
NM_001287245	ZNF621
NM_001145093	ZNF619
NM_001256167	ZNF620
NM_001145082	ZNF619
NM_001098414	ZNF621
NM_001174138	CCK
NM_005385	NKTR
NM_001099669	HIGD1A
NM_014056	HIGD1A
NM_207404	ZNF662
NM_004391	CYP8B1
NM_001129908	FAM198A
NM_016006	ABHD5
NM_001029840	TCAIM
NM_001288590	ZKSCAN7
NM_001134442	ZNF502
NM_020696	KIAA1143
NM_003241	TGM4
NM_022842	CDCP1
NM_020208	SLC6A20
NM_022405	SLC6A20
NM_001295	CCR1
NM_002343	LTF
NM_001130910	CCRL2
NM_000579	CCR5
NM_003212	TDGF1
NM_001174136	TDGF1
NM_013270	PRSS50
NM_000258	MYL3
NM_015175	NBEAL2
NR_109996	PRKAR2A-AS1
NR_109997	PRKAR2A-AS1
NM_032316	NICN1
NR_038866	BSN-AS2
NM_016173	HEMK1
NR_027331	LINC00696
NM_017442	TLR9
NM_199166	ALAS1
NR_026699	GLYCTK
NM_015136	STAB1
NM_001193533	NEK4
NM_014366	GNL3
NM_206825	GNL3
NM_001278280	GLT8D1
NM_001198974	TMEM110-MUSTN1
NM_001166449	ITIH4
NM_002217	ITIH3
NM_198563	TMEM110
NM_002218	ITIH4
NM_205853	MUSTN1
NM_052859	RFT1
NM_001135055	TKT
NM_018725	IL17RB
NM_022899	ACTR8
NR_027122	ESRG
NM_003392	WNT5A
NM_001256105	WNT5A
NM_001112736	FAM208A
NM_015224	FAM208A
NM_001128616	ARHGEF3
NM_019555	ARHGEF3
NM_177966	PDE12
NR_049756	RPP14
NM_007042	RPP14
NM_020676	ABHD6
NR_049755	RPP14
NM_001173468	PDHB
NM_001282713	FAM107A
NM_138805	FAM3D
NR_046702	PRICKLE2-AS3
NR_110151	ADAMTS9-AS1
NM_032505	KBTBD8
NR_103826	EOGT
NM_198271	LMOD3
NM_006407	ARL6IP5
NM_001134651	EIF4E3
NM_018029	EBLN2
NR_031714	MIR1324
NR_040005	LINC00960
NM_001128223	ZNF717
NR_110133	LOC101927374
NR_047469	LINC00506
NM_001005482	OR5H2
NM_001005479	OR5H6
NM_001004737	OR5K2
NM_001271146	ST3GAL6
NM_020357	PCNP
NM_014415	ZBTB11
NR_002941	PDCL3P4
NM_001134456	NXPE3
NM_175056	ZPLD1
NR_028302	LINC00883
NM_032600	CCDC54
NM_001777	CD47
NR_110028	LINC01215
NM_018010	IFT57
NM_007072	HHLA2
NM_001282557	HHLA2
NM_032579	RETNLB
NR_033977	FLJ22763
NR_026767	LINC00488
NR_109842	LINC01205
NM_015480	PVRL3
NR_026734	TMPRSS7
NM_025146	NAA50
NM_007136	ZNF80
NM_016589	TIMMDC1
NM_018266	TMEM39A
NR_073506	TMEM39A
NM_015900	PLA1A
NM_001125	ADPRH
NM_033364	MAATS1
NM_033013	NR1I2
NM_007085	FSTL1
NM_005513	GTF2E1
NM_016298	FBXO40
NM_001012659	ARGFX
NM_004487	GOLGB1
NR_024618	LOC100129550
NM_198402	PTPLB
NM_017578	ROPN1
NM_022757	CCDC14
NM_020733	HEG1
NR_031687	MIR548I1
NM_001015050	ALG1L
NM_001195223	ALG1L
NM_025112	ZXDC
NM_001040653	ZXDC
NR_034158	NUP210P1
NR_073375	MCM2
NR_073377	TPRA1
NM_014049	ACAD9
NM_001204886	RAB43
NM_001204885	RAB43
NM_024768	EFCC1
NM_198490	RAB43
NM_000174	GP9
NM_020701	ISY1
NM_001127193	CNBP
NM_001127192	CNBP
NM_001006109	HMCES
NR_026991	H1FX-AS1
NM_001276271	MBD4
NM_207307	EFCAB12
NM_000539	RHO
NM_015103	PLXND1
NR_037893	TMCC1-AS1
NR_024252	FAM86HP
NR_027898	COL6A4P2
NM_001099	ACPP
NM_178445	ACKR4
NM_007027	TOPBP1
NM_001040061	FOXL2NB
NM_001134657	PRR23C
NM_001134659	PRR23A
NM_001104647	SLC25A36
NM_001679	ATP1B3
NM_001039547	GK5
NM_173552	C3orf58
NM_001870	CPA3
NM_004617	TM4SF4
NR_040250	WWTR1-AS1
NM_001178146	IGSF10
NR_027954	TIPARP-AS1
NR_003284	PA2G4P4
NM_020307	CCNL1
NR_034007	LINC00880
NM_000882	IL12A
NR_104132	LINC01100
NM_002268	KPNA4
NM_001038628	B3GALNT1
NR_102265	LOC101243545
NM_001185119	MYNN
NM_001080460	LRRIQ4
NR_027622	LOC100128164
NM_003262	SEC62
NM_001185056	CLDN11
NM_198407	GHSR
NR_047465	LINC00501
NM_014407	KCNMB3
NM_171828	KCNMB3
NR_110059	LOC101928790
NM_005087	FXR1
NM_001037639	PARL
NR_024534	ALG3
NM_144635	FAM131A
NM_022149	MAGEF1
NR_110043	LOC101928992
NR_038990	EHHADH-AS1
NM_001243879	TRA2B
NM_004593	TRA2B
NM_001134415	TBCCD1
NM_001967	EIF4A2
NM_001879	MASP1
NM_001031849	MASP1
NR_036497	LPP-AS2
NM_198152	UTS2B
NR_033944	LOC647323
NR_027764	DPPA2P3
NM_001080513	CPN2
NM_001011655	TMEM44
NM_001166305	TMEM44
NM_006241	PPP1R2
NR_003265	SDHAP2
NM_018406	MUC4
NM_001282506	MUC20
NM_001105573	FBXO45
NM_001077657	SMCO1
NM_032898	CEP19
NM_017861	PIGX
NR_038285	MFI2-AS1
NM_033316	MFI2
NR_003266	LOC220729
NM_001145642	KIAA0226
NM_014687	KIAA0226
NR_026787	LMLN
NM_001145248	FAM157A
NR_037934	SEPSECS-AS1
NM_001115008	LIN54
NR_037840	IL15
NM_172175	IL15
NM_001145853	WFS1
NM_006005	WFS1
NM_018401	STK32B
NM_004334	BST1
NM_022346	NCAPG
NM_001035004	KCNIP4
NM_001080476	GRXCR1
NM_001286767	USP46
NM_003759	SLC4A4
NM_144571	CNOT6L
NM_020859	SHROOM3
NM_001286790	CNOT6L
NM_198281	GPRIN3
NM_001256427	PDLIM5
NM_003728	UNC5C
NM_001256428	PDLIM5
NM_001008388	CISD2
NR_047513	SLC9B1
NM_001102406	ALPK1
NR_109983	LOC729218
NM_024605	ARHGAP10
NM_001243349	SH3D19
NM_017639	DCHS2
NM_001128924	SH3D19
NM_001009555	SH3D19
NM_001009554	MFAP3L
NM_021647	MFAP3L
NM_018248	NEIL3
NM_020972	ZFYVE28
NM_001130086	ABLIM2
NM_001134647	AFAP1
NM_153686	LCORL
NM_001289136	SLIT2
NM_001289135	SLIT2
NM_145290	GPR125
NM_001173523	PCDH7
NM_001170700	DTHD1
NM_001085400	RELL1
NM_001104629	C4orf19
NM_016531	KLF3
NR_026804	KLF3-AS1
NM_005339	UBE2K
NR_047679	UGDH-AS1
NM_175737	KLB
NM_174921	SMIM14
NM_018177	N4BP2
NM_001098634	RBM47
NM_001278360	RHOH
NM_001204266	GABRA4
NM_000809	GABRA4
NM_001142564	CNGA1
NM_015030	FRYL
NM_025087	CWH43
NM_020846	SLAIN2
NM_001286791	CWH43
NM_145263	SPATA18
NM_001126328	LNX1
NM_152540	SCFD2
NM_024592	SRD5A3
NM_001010874	TECRL
NM_014058	TMPRSS11E
NM_001244766	MOB1B
NM_173827	COX18
NM_001432	EREG
NM_025074	FRAS1
NR_038826	LINC00989
NM_058172	ANTXR2
NM_001286781	ANTXR2
NM_001282482	PRKG2
NM_001282480	PRKG2
NM_024906	SCD5
NM_001042669	ARHGAP24
NM_080685	PTPN13
NM_001265580	FAM13A
NM_014606	HERC3
NM_014883	FAM13A
NM_001265578	FAM13A
NM_001015045	FAM13A
NM_001146054	SNCA
NR_045644	SMARCAD1
NM_001100429	RAP1GDS1
NM_021159	RAP1GDS1
NM_016242	EMCN
NM_001159694	EMCN
NM_139173	SLC9B1
NM_176869	PPA2
NM_006903	PPA2
NM_001242729	ARHGEF38
NM_001178130	EGF
NM_001042734	SEC24B
NM_001963	EGF
NM_006583	RRH
NM_172128	CAMK2D
NM_172127	CAMK2D
NM_001286755	SYNPO2
NM_198179	QRFPR
NM_003305	TRPC3
NM_145207	SPATA5
NM_024582	FAT4
NM_152778	MFSD8
NM_024900	JADE1
NM_006726	LRBA
NM_001109977	FAM160A1
NM_001142552	DCHS2
NM_017419	ASIC5
NM_000824	GLRB
NM_152543	C4orf45
NM_170710	WDR17
NM_201591	GPM6A
NR_108092	LINC01099
NM_153343	ENPP6
NM_001286712	ACSL1
NM_020827	CFAP97
NR_038931	LOC339975
NM_001286052	ZNF595
NM_001286053	ZNF595
NR_027481	ZNF876P
NM_133474	ZNF721
NR_002451	ABCA11P
NR_036511	LOC100129917
NM_002477	MYL5
NM_001347	DGKQ
NM_134425	SLC26A1
NM_022042	SLC26A1
NM_001004358	FGFRL1
NM_032326	TMEM175
NM_194439	RNF212
NR_033339	CTBP1-AS2
NR_104331	CTBP1-AS
NM_175918	CRIPAK
NM_024511	HAUS3
NM_001122681	SH3BP2
NR_034136	LOC100133461
NR_024253	FAM86EP
NM_145291	ZBTB49
NM_032927	TMEM128
NR_015433	LOC93622
NM_152293	TADA2B
NR_027441	FLJ36777
NR_026892	AFAP1-AS1
NM_018986	SH3TC1
NM_080819	GPR78
NM_001014447	CPZ
NM_001040071	LOC650293
NM_001256859	USP17L18
NM_001256859	USP17L18
NM_001256854	USP17L11
NM_001256854	USP17L11
NM_001256854	USP17L11
NM_001256853	USP17L12
NM_001256853	USP17L12
NM_001256852	USP17L10
NM_001256863	USP17L22
NM_001256894	USP17L15
NM_001256862	USP17L21
NM_001256862	USP17L21
NM_001256860	USP17L19
NM_001256863	USP17L22
NM_001256861	USP17L20
NM_001256861	USP17L20
NM_001256861	USP17L20
NM_001256857	USP17L17
NM_001256855	USP17L13
NM_001242326	USP17L25
NM_001242326	USP17L25
NM_001242326	USP17L25
NM_001242326	USP17L25
NM_001256867	USP17L30
NM_001242327	USP17L24
NM_001242327	USP17L24
NM_001242327	USP17L24
NM_001242332	USP17L29
NM_001242332	USP17L29
NM_001242332	USP17L29
NM_001256867	USP17L30
NM_001242326	USP17L25
NM_001242326	USP17L25
NM_001242326	USP17L25
NM_001242326	USP17L25
NM_001256867	USP17L30
NM_001256867	USP17L30
NM_001256867	USP17L30
NM_001242331	USP17L28
NM_001242331	USP17L28
NM_001242331	USP17L28
NM_001242330	USP17L27
NM_001242330	USP17L27
NM_001242330	USP17L27
NM_001242330	USP17L27
NM_001242330	USP17L27
NM_001242330	USP17L27
NM_001242330	USP17L27
NM_001242330	USP17L27
NM_001242329	USP17L5
NM_001242329	USP17L5
NM_001242329	USP17L5
NM_001242329	USP17L5
NM_001242329	USP17L5
NM_001242329	USP17L5
NM_001242329	USP17L5
NM_001242329	USP17L5
NR_046416	USP17L9P
NM_001242331	USP17L28
NM_001242331	USP17L28
NM_001242331	USP17L28
NM_001242331	USP17L28
NM_001242331	USP17L28
NM_001256867	USP17L30
NM_001256867	USP17L30
NM_001256867	USP17L30
NM_001242332	USP17L29
NM_001242332	USP17L29
NM_001242332	USP17L29
NM_001242332	USP17L29
NM_001242332	USP17L29
NM_001242327	USP17L24
NM_001242327	USP17L24
NM_001242327	USP17L24
NM_001242327	USP17L24
NM_001242327	USP17L24
NR_027279	USP17L6P
NM_000798	DRD5
NM_053042	ZNF518B
NR_033931	LINC01085
NM_001177383	CPEB2
NM_001177382	CPEB2
NM_017741	DCAF16
NR_002813	KCNIP4-IT1
NR_037877	LOC100505912
NM_018176	LGI2
NM_018290	PGM2
NM_001195108	TLR10
NM_030956	TLR10
NM_006068	TLR6
NR_026854	LOC401127
NM_152679	SLC10A4
NM_001040402	DCUN1D4
NM_001287757	DCUN1D4
NM_001287755	DCUN1D4
NM_000232	SGCB
NM_001024611	LRRC66
NR_027153	RPL21P44
NM_006206	PDGFRA
NM_001286672	AASDH
NM_001193508	REST
NR_073418	SPINK2
NM_012108	STAP1
NM_001012763	GNRHR
NM_001076	UGT2B15
NM_001075	UGT2B10
NM_001144767	UGT2B10
NR_024010	UGT2A3
NM_001075	UGT2B10
NM_001144767	UGT2B10
NM_000200	HTN3
NM_214711	PRR27
NM_001037442	RUFY3
NM_014961	RUFY3
NM_001130709	RUFY3
NM_001511	CXCL1
NM_002619	PF4
NM_203504	G3BP2
NM_001179	ART3
NM_001204255	SCARB2
NR_038308	LINC01094
NM_001040202	PAQR3
NM_033214	GK2
NR_026555	PCAT4
NM_020226	PRDM8
NM_004464	FGF5
NM_033143	FGF5
NM_001201	BMP3
NM_001080506	TMEM150C
NM_001166498	HPSE
NM_139076	FAM175A
NM_016067	MRPS18C
NM_133636	HELQ
NM_144645	C4orf36
NM_020803	KLHL8
NM_001136230	HSD17B13
NM_004684	SPARCL1
NM_024047	NUDT9
NM_001128310	SPARCL1
NM_014208	DSPP
NM_152542	PPM1K
NM_153757	NAP1L5
NR_002806	FAM13A-AS1
NM_001256429	PDLIM5
NM_001968	EIF4E
NM_001278310	DNAJB14
NM_001031723	DNAJB14
NM_001135147	SLC39A8
NM_017628	TET2
NM_004757	AIMP1
NR_026968	RPL34-AS1
NM_001146590	ETNPPL
NR_027475	ETNPPL
NM_001226	CASP6
NM_032992	CASP6
NM_030821	PLA2G12A
NM_198506	LRIT3
NM_152400	C4orf32
NM_003360	UGT8
NR_103825	LOC729218
NM_001001701	C4orf3
NR_037596	LINC01061
NM_002358	MAD2L1
NM_001128843	TNIP3
NM_001178007	BBS12
NM_001167882	ANKRD50
NM_001190801	PLK4
NM_032239	LARP1B
NM_001114734	PABPC4L
NR_033939	SCOC-AS1
NM_001102653	OTUD4
NM_172250	MMAA
NR_045958	EDNRA
NM_001957	EDNRA
NM_006439	MAB21L2
NM_001006	RPS3A
NM_001267699	RPS3A
NR_033797	DKFZP434I0714
NM_001039580	MAP9
NM_006174	NPY5R
NM_153027	FAM218A
NM_001100389	TMEM192
NM_152620	TRIM60
NM_006745	MSMO1
NM_001243372	CLCN3
NM_001829	CLCN3
NR_037878	LOC100506085
NM_182662	AADAT
NM_012180	FBXO8
NM_001040157	CEP44
NM_080874	ASB5
NM_021928	SPCS3
NM_001921	DCTD
NM_017632	CDKN2AIP
NM_152682	RWDD4
NM_004346	CASP3
NM_024629	CENPU
NR_039976	LINC01093
NM_001151	SLC25A4
NM_018409	LRP2BP
NM_207352	CYP4V2
NM_001006655	FAM149A
NM_174900	ZFP42
NM_004477	FRG1
NM_012334	MYO10
NM_030955	ADAMTS12
NR_039984	LOC729506
NM_001146319	GRAMD3
NM_002372	MAN2A1
NM_001161662	WWC1
NM_001135608	ARHGAP26
NM_015071	ARHGAP26
NM_139056	ADAMTS16
NR_104643	FLJ32255
NM_019087	ARL15
NM_020928	ZSWIM6
NM_019072	SGTB
NM_001164098	VCAN
NM_001142475	NREP
NM_138773	SLC25A46
NM_005509	DMXL1
NM_133372	FNIP1
NM_020768	KCTD16
NM_015043	TBC1D9B
NR_003263	SDHAP3
NM_005885	MARCH6
NR_027112	LOC285692
NM_001270660	MARCH6
NM_001270661	MARCH6
NM_007118	TRIO
NM_001369	DNAH5
NM_054027	ANKH
NR_027253	LOC285696
NM_016279	CDH9
NM_004932	CDH6
NM_001040446	MTMR12
NM_001204375	NPR3
NM_001012509	SLC45A2
NM_016180	SLC45A2
NM_001042625	CAPSL
NM_005983	SKP2
NM_001243120	SKP2
NR_103554	LIFR-AS1
NM_001127671	LIFR
NM_001285440	RICTOR
NM_003999	OSMR
NM_152756	RICTOR
NM_006251	PRKAA1
NM_000436	OXCT1
NM_001005473	PLCXD3
NM_001242462	GHR
NM_000163	GHR
NM_001242405	GHR
NM_024615	PARP8
NR_073106	ITGA2
NM_152622	MIER3
NM_173667	C5orf64
NR_027386	GUSBP3
NR_033417	GTF2H2B
NM_021967	SERF1A
NR_029426	SMA4
NR_027386	GUSBP3
NR_034021	SMA5
NM_022132	MCCC2
NM_001177693	ARHGEF28
NM_130772	S100Z
NM_001992	F2R
NM_001271769	AP3B1
NM_005779	LHFPL2
NM_000046	ARSB
NM_001178005	BHMT2
NM_004866	SCAMP1
NM_001174071	SERINC5
NM_002439	MSH3
NR_003719	NBPF22P
NR_110266	TMEM161B
NM_001289007	TMEM161B
NR_027435	ARRDC3-AS1
NM_012081	ELL2
NM_198150	ARSK
NM_175920	LNPEP
NM_180991	SLCO4C1
NR_103753	LINC00491
NR_103754	LINC00491
NM_001163315	FBXL17
NM_001039763	TMEM232
NM_022140	EPB41L4A
NR_046678	NREP-AS1
NM_152624	DCP2
NM_001284	AP3S1
NR_046089	LINC00992
NM_016644	PRR16
NM_001195535	LOC100505841
NM_001278199	SNX2
NM_004384	CSNK1G3
NM_032177	PHAX
NM_032446	MEGF10
NR_015360	LINC01184
NM_001009185	ACSL6
NM_001745	CAMLG
NM_001033503	SAR1B
NM_016103	SAR1B
NM_001945	HBEGF
NM_018907	PCDHA4
NM_018919	PCDHGA6
NM_001204265	NR3C1
NM_001204264	NR3C1
NM_006706	TCERG1
NM_001127698	SPINK5
NM_001270941	JAKMIP2
NM_000870	HTR4
NM_000440	PDE6A
NM_001804	CDX1
NM_000337	SGCD
NM_001128209	SGCD
NM_001271946	SLIT3
NM_004946	DOCK2
NM_001129891	FAM196B
NM_001034837	KCNIP1
NM_033645	FBXW11
NM_012300	FBXW11
NM_005990	STK10
NM_001199297	UIMC1
NR_038353	FAM153C
NM_021599	ADAMTS2
NM_052909	PLEKHG4B
NM_001080478	LRRC14B
NR_073609	PDCD6
NR_104614	LOC100506688
NM_182632	SLC6A18
NM_001003841	SLC6A19
NM_024830	LPCAT1
NR_109912	CTD-2194D22.4
NM_015325	ICE1
NR_024423	LINC01018
NR_103771	LOC100505625
NR_033906	LOC442132
NM_012073	CCT5
NM_138809	CMBL
NM_199133	FAM173B
NR_104606	LOC101929412
NR_109946	LOC101929524
NR_033961	LSP1P3
NR_109948	LOC101929645
NM_018356	C5orf22
NR_047676	TARS
NR_047678	TARS
NM_001167595	AMACR
NM_014324	AMACR
NM_181435	C1QTNF3
NM_030945	C1QTNF3
NM_194283	DNAJC21
NM_002853	RAD1
NM_001012339	DNAJC21
NM_031900	AGXT2
NM_002185	IL7R
NM_001287340	NADK2
NM_001278094	GDNF-AS1
NR_103442	GDNF-AS1
NR_046219	EGFLAM-AS4
NR_103553	LIFR-AS1
NM_000997	RPL37
NM_001093726	SEPP1
NM_001134848	CCDC152
NR_034127	LOC100132356
NR_034086	LOC648987
NM_182789	PAIP1
NM_006451	PAIP1
NM_052870	SNX18
NR_001575	RNF138P1
NM_002184	IL6ST
NM_001190981	IL6ST
NR_102755	FLJ31104
NM_005921	MAP3K1
NR_109900	LOC101928539
NR_109904	LOC101928600
NR_028509	PART1
NR_109910	LOC101928651
NM_020726	NLN
NM_005582	CD180
NR_105003	LOC102467655
NM_001242466	PIK3R1
NM_176816	CCDC125
