#name	name2
NM_013943	CLIC4
NM_001166260	TRIP13
NM_001271082	NKD2
NR_104615	LOC100506688
NR_104614	LOC100506688
NM_006598	SLC12A7
NM_001003841	SLC6A19
NM_024830	LPCAT1
NR_003713	LOC728613
NM_001278633	IRX4
NM_033267	IRX2
NM_001134222	IRX2
NM_015325	ICE1
NM_001145161	UBE2QL1
NM_001047	SRD5A1
NR_024423	LINC01018
NM_017755	NSUN2
NR_039659	MIR4454
NR_033906	LOC442132
NR_045196	SNHG18
NM_012073	CCT5
NM_138809	CMBL
NR_047670	FAM173B
NR_039659	MIR4454
NM_019018	FAM105A
NM_006317	BASP1
NM_001271606	BASP1
NR_027027	GUSBP1
NR_037896	LOC340107
NR_109948	LOC101929645
NM_022130	GOLPH3
NM_016568	RXFP3
NM_001167595	AMACR
NM_014324	AMACR
NM_181435	C1QTNF3
NM_030945	C1QTNF3
NM_194283	DNAJC21
NM_001012339	DNAJC21
NM_002185	IL7R
NM_153013	NADK2
NM_001085411	NADK2
NM_001287341	NADK2
NM_001166696	SLC1A3
NM_000514	GDNF
NM_001278094	GDNF-AS1
NR_102749	EGFLAM-AS2
NR_103553	LIFR-AS1
NM_001343	DAB2
NM_012382	TTC33
NM_000587	C7
NR_104636	LOC101926960
NR_104635	LOC101926960
NM_001134848	CCDC152
NR_015447	LOC153684
NR_034086	LOC648987
NM_001014279	ANXA2R
NM_198566	C5orf34
NR_073113	NNT-AS1
NM_006451	PAIP1
NR_034107	LOC257396
NM_006350	FST
NM_013409	FST
NM_001145427	SNX18
NM_052870	SNX18
NM_001102575	SNX18
NM_001170402	CDC20B
NM_001008397	GPX8
NR_001575	RNF138P1
NM_001166534	DDX4
NR_102755	FLJ31104
NM_005921	MAP3K1
NM_001017992	ACTBL2
NR_104668	LOC101928505
NR_109900	LOC101928539
NR_109904	LOC101928600
NM_001104558	ELOVL7
NM_000524	HTR1A
NM_020726	NLN
NM_001077199	SREK1
NM_001251969	SLC30A5
NM_176816	CCDC125
NM_001098728	GTF2H2C
NR_027439	LOC100272216
NM_001042490	GTF2H2C_2
NR_033968	GUSBP9
NR_073404	LOC441081
NM_022978	SERF1B
NM_021967	SERF1A
NM_022892	NAIP
NM_004536	NAIP
NR_003922	PMCHL2
NM_002270	TNPO1
NM_001161342	TMEM171
NM_173490	TMEM171
NM_004472	FOXD1
NR_105009	LINC01335
NM_001271665	NSA2
NM_018046	AGGF1
NM_032367	ZBED3
NR_104002	DMGDH
NM_152405	JMY
NM_001167741	MTX3
NR_109930	CTD-2201I18.1
NM_001174072	SERINC5
NR_004845	LOC644936
NM_000791	DHFR
NM_001190470	MTRNR2L2
NR_105015	RASGRF2-AS1
NR_034121	CKMT2-AS1
NM_130767	ACOT12
NM_001025	RPS23
NM_174909	TMEM167A
NM_020801	ARRDC3
NM_199243	GPR150
NM_001131065	RFESD
NM_173362	RFESD
NM_014899	RHOBTB3
NR_026936	LINC01554
NM_001198541	ERAP1
NM_001040458	ERAP1
NR_027503	LOC100133050
NM_033211	C5orf30
NR_033175	LOC100289673
NM_139281	WDR36
NM_001142478	NREP
NM_001142481	NREP
NM_000038	APC
NM_001040440	CCDC112
NM_021649	TICAM2
NR_073603	ATG12
NM_004707	ATG12
NR_104678	LOC102467223
NR_104609	LOC100505811
NM_207317	ZNF474
NR_051996	MGC32805
NM_000943	PPIC
NM_001136239	PRDM6
NM_001182	ALDH7A1
NM_005573	LMNB1
NM_001127385	CTXN3
NR_046207	SLC12A2
NM_016048	ISOC1
NM_181705	LYRM7
NM_001017973	P4HA2
NM_003059	SLC22A4
NR_045116	C5orf56
NM_002198	IRF1
NM_001098811	SEPT8
NM_007054	KIF3A
NM_001288828	GDF9
NM_014402	UQCRQ
NM_133456	SHROOM1
NM_052971	LEAP2
NM_001172700	SHROOM1
NM_175873	SOWAHA
NM_017665	ZCCHC10
NM_003374	VDAC1
NR_036625	VDAC1
NR_105045	LOC101927934
NM_032151	PCBD2
NM_002653	PITX1
NR_037895	C5orf66-AS2
NR_027127	LOC340074
NM_005903	SMAD5
NM_001001420	SMAD5
NR_039659	MIR4454
NM_016606	REEP2
NM_004134	HSPA9
NR_003141	SNHG4
NM_152686	DNAJC18
NM_003339	UBE2D2
NM_005859	PURA
NM_006051	APBB3
NM_080670	SLC35A4
NM_017706	WDR55
NM_194249	DND1
NM_001174105	CD14
NM_006083	IK
NM_031501	PCDHA5
NM_014005	PCDHA9
NM_031864	PCDHA12
NM_018937	PCDHB3
NM_018933	PCDHB13
NR_001280	PCDHB17P
NR_001282	PCDHB19P
NM_018940	PCDHB7
NM_019119	PCDHB9
NM_019120	PCDHB8
NM_020957	PCDHB16
NM_018939	PCDHB6
NR_001281	PCDHB18P
NM_032098	PCDHGB4
NM_032054	PCDHGA5
NM_032097	PCDHGB3
NM_033449	FCHSD1
NM_002587	PCDH1
NM_032420	PCDH1
NR_033244	LOC729080
NM_183400	RNF14
NM_183401	RNF14
NM_001144935	FGF1
NR_046680	ARHGAP26-AS1
NM_001024947	YIPF5
NM_205846	PRELID2
NM_020117	LARS
NM_000024	ADRB2
NM_152407	GRPEL2
NM_001146337	AFAP1L1
NM_001001669	ARHGEF37
NM_000112	SLC26A2
NM_001243253	TIGD6
NM_014228	SLC6A7
NM_171825	CAMK2A
NM_001543	NDST1
NM_001025071	RPS14
NM_007286	SYNPO
NM_001122853	MYOZ3
NM_001145805	IRGM
NM_002084	GPX3
NM_001252392	TNIP1
NM_001258454	TNIP1
NM_001167607	GM2A
NM_181776	SLC36A2
NM_001447	FAT2
NM_018691	FAM114A2
NM_001242336	MFAP3
NM_005927	MFAP3
NM_001135037	MFAP3
NR_037897	SAP30L-AS1
NM_001131062	SAP30L
NM_004821	HAND1
NR_024084	SAP30L
NM_024632	SAP30L
NM_014180	MRPL22
NM_012206	HAVCR1
NM_001173393	HAVCR1
NM_032782	HAVCR2
NM_001001343	FNDC9
NM_033274	ADAM19
NM_007017	SOX30
NM_017872	THG1L
NM_173491	LSM11
NM_024565	CCNJL
NM_001142556	HMMR
NM_024594	PANK3
NM_014211	GABRP
NM_021025	TLX3
NM_199185	NPM1
NM_003862	FGF18
NR_002988	SNORA74B
NR_026682	LOC100268168
NM_001166175	NKX2-5
NM_030627	CPEB4
NM_001144954	C5orf47
NM_022754	SFXN1
NM_001008220	CPLX2
NM_001079685	KIAA1191
NM_173664	ARL10
NM_007097	CLTB
NM_001256539	NOP16
NM_001171976	CDHR2
NM_014901	RNF44
NM_001099408	EIF4E1B
NM_001001502	SNCB
NR_108030	LINC01574
NM_002115	HK3
NM_002011	FGFR4
NM_213647	FGFR4
NM_022963	FGFR4
NM_031300	MXD3
NM_013237	PRELID1
NM_000505	F12
NM_080881	DBN1
NR_038916	PRR7-AS1
NR_103804	PDLIM7
NM_001004105	GRK6
NM_173663	FAM153A
NM_001278346	PHYKPL
NR_024035	AACSP1
NM_030613	ZFP2
NM_000843	GRM6
NM_001040451	RUFY1
NM_001040452	RUFY1
NM_001142306	C5orf60
NM_014275	MGAT4B
NM_001017987	C5orf45
NM_001142299	SQSTM1
NM_005110	GFPT2
NM_182925	FLT4
NM_002020	FLT4
NM_033549	TRIM41
NM_033342	TRIM7
NR_028327	LOC100133331
NR_028325	LOC100132062
NR_028322	LOC100132287
NM_001005277	OR4F16
NM_001005224	OR4F3
NM_001005221	OR4F29
NR_027908	LINC00336
NM_001199918	PGM3
NM_000129	F13A1
NR_027116	LOC285768
NM_005493	RANBP9
NM_022113	KIF13A
NM_001257357	RAB44
NM_001145777	FKBP5
NM_001206927	DNAH8
NM_022758	C6orf106
NM_033112	RRP36
NM_012288	TRAM2
NM_001160130	KCNQ5
NM_004999	MYO6
NM_052904	KLHL32
NM_001029858	SLC35F1
NM_001040214	NKAIN2
NM_018945	PDE7B
NM_001278724	IL20RA
NM_001193480	ALDH8A1
NM_022568	ALDH8A1
NM_022121	PERP
NM_016217	HECA
NM_001030060	SAMD5
NM_016108	AIG1
NM_017519	ARID1B
NM_020732	ARID1B
NM_013987	PARK2
NM_004562	PARK2
NM_182552	WDR27
NM_001286456	SLC22A23
NM_001143970	CDYL
NM_004824	CDYL
NR_026590	CDYL
NM_001168344	RREB1
NR_026970	LY86-AS1
NM_001003699	RREB1
NM_001003700	RREB1
NM_001003698	RREB1
NM_001718	BMP6
NM_152551	SNRNP48
NM_001491	GCNT2
NM_145655	GCNT2
NM_018988	GFOD1
NM_001242628	GFOD1
NM_006877	GMPR
NM_006366	CAP2
NM_153042	KDM1B
NM_001080480	MBOAT1
NM_001080	ALDH5A1
NR_003504	GUSBP2
NM_001010877	ZNF311
NR_024053	HCG18
NR_024052	HCG18
NR_102327	HCG18
NR_026751	ZNRD1-AS1
NR_102326	HCG18
NM_014641	MDC1
NM_025259	MSH5
NM_145902	HMGA1
NM_145901	HMGA1
NM_001202470	RPS10-NUDT3
NM_000841	GRM4
NM_145903	HMGA1
NM_015245	ANKS1A
NM_003017	SRSF3
NM_001286579	KCTD20
NM_001286580	KCTD20
NR_104480	KCTD20
NM_153487	MDGA1
NM_152733	BTBD9
NM_052893	BTBD9
NM_001172418	BTBD9
NM_021943	ZFAND3
NM_003740	KCNK5
NM_020737	LRFN2
NM_007162	TFEB
NM_006789	APOBEC2
NM_001164446	C6orf132
NM_152881	PTK7
NM_032538	TTBK1
NM_001010870	TDRD6
NM_001251974	RCAN2
NR_033327	EFHC1
NM_170724	PKHD1
NM_138694	PKHD1
NM_138569	MLIP
NM_018214	LRRC1
NM_001010872	FAM83B
NM_030820	COL21A1
NM_152731	BEND6
NM_001858	COL19A1
NM_001168408	RIMS1
NM_014989	RIMS1
NM_012434	SLC17A5
NM_015571	SENP6
NM_001282368	IMPG1
NM_183050	BCKDHB
NM_002395	ME1
NM_014841	SNAP91
NM_001256718	SNAP91
NM_016021	UBE2J1
NM_001267582	GABRR1
NM_032511	FAXC
NM_001284271	ASCC3
NM_006828	ASCC3
NM_020381	PDSS2
NM_018292	QRSL1
NM_018013	SOBP
NM_001455	FOXO3
NM_201559	FOXO3
NM_198081	SCML4
NM_001286408	SCML4
NM_145025	AK9
NM_033125	SLC22A16
NM_001123364	METTL24
NM_002912	REV3L
NM_002037	FYN
NM_018593	SLC16A10
NM_001105206	LAMA4
NM_002269	KPNA5
NM_206921	CEP85L
NM_001042475	CEP85L
NR_046100	LOC285762
NM_032471	PKIB
NM_181795	PKIB
NM_001010852	CLVS2
NM_152553	RNF217
NM_001286398	RNF217
NM_001031712	TRMT11
NR_104462	CENPW
NM_001012279	SOGA3
NM_001010923	THEMIS
NM_001135648	PTPRK
NM_001258275	SAMD3
NM_001135555	EPB41L2
NM_016377	AKAP7
NM_001199388	EPB41L2
NM_015529	MOXD1
NM_172103	EYA4
NM_001161656	MYB
NM_001134831	AHI1
NM_005923	MAP3K5
NM_001077706	ECT2L
NM_020464	NHSL1
NM_020340	KIAA1244
NM_006734	HIVEP2
NM_001286588	AIG1
NM_001080954	PLAGL1
NM_014721	PHACTR2
NM_001100165	PHACTR2
NM_001289047	PLAGL1
NM_001289048	PLAGL1
NR_038244	LOC100507557
NM_005670	EPM2A
NM_015278	SASH1
NR_045126	RAET1E-AS1
NM_030949	PPP1R14C
NM_001242767	MTHFD1L
NM_005100	AKAP12
NM_000125	ESR1
NM_012419	RGS17
NM_173515	CNKSR3
NM_000914	OPRM1
NM_001145279	OPRM1
NM_014892	SCAF8
NM_001285522	OPRM1
NM_001008505	OPRM1
NR_104350	OPRM1
NR_104348	OPRM1
NM_012454	TIAM2
NM_016020	TFB1M
NM_024630	ZDHHC14
NM_020823	TMEM181
NM_207118	GTF2H5
NM_020245	TULP4
NM_001007466	TULP4
NM_032532	FNDC1
NM_152857	WTAP
NM_021977	SLC22A3
NM_005577	LPA
NM_020133	AGPAT4
NM_006775	QKI
NM_206855	QKI
NM_206853	QKI
NM_021135	RPS6KA2
NM_001040000	MLLT4
NM_022138	SMOC2
NR_104473	DUSP22
NM_001452	FOXF2
NM_033260	FOXQ1
NM_001453	FOXC1
NM_152554	C6orf195
NM_001012418	MYLK4
NM_130395	WRNIP1
NR_073111	SERPINB1
NR_026855	LINC01011
NM_004155	SERPINB9
NM_001195291	SERPINB6
NM_183373	PXDC1
NM_173563	FAM217A
NR_104464	C6orf201
NM_003144	SSR1
NM_030810	TXNDC5
NM_005906	MAK
NM_001286488	TMEM14B
NM_001040274	SYCP2L
NM_207582	ERVFRD-1
NM_001135575	SMIM13
NR_038962	ELOVL2-AS1
NM_006403	NEDD9
NM_001100829	TMEM170B
NM_001168319	EDN1
NM_012241	SIRT5
NM_001193267	SIRT5
NM_001242827	SIRT5
NM_001031713	MCUR1
NM_001165033	RNF182
NM_001040280	CD83
NM_013262	MYLIP
NM_000367	TPMT
NM_001546	ID4
NM_003107	SOX4
NR_034143	NBAT1
NM_001503	GPLD1
NM_001160094	ACOT13
NM_003512	HIST1H2AC
NM_139006	HFE
NM_003522	HIST1H2BF
NM_003543	HIST1H4H
NM_007047	BTN3A2
NR_026790	HCG11
NR_026775	LINC00240
NM_005865	PRSS16
NR_024553	ZNF204P
NR_038294	LINC01012
NR_024063	ZSCAN12P1
NR_103455	ZSCAN16-AS1
NM_032507	PGBD1
NR_002936	TOB2P1
NM_024493	ZKSCAN3
NM_001242895	ZKSCAN3
NM_001242894	ZKSCAN3
NM_052923	ZBED9
NR_103538	LINC01556
NM_001005216	OR2J3
NM_030905	OR2J2
NM_030959	OR12D3
NM_013936	OR12D2
NM_030883	OR2H1
NR_037180	LINC01015
NR_037179	LINC01015
NM_006398	UBD
NM_021903	GABBR1
NM_007160	OR2H2
NM_001470	GABBR1
NR_037181	LINC01015
NM_001098479	HLA-F
NM_206809	MOG
NM_206814	MOG
NR_026972	HLA-F-AS1
NM_001008229	MOG
NM_002127	HLA-G
NR_002139	HCG4
NR_001434	HLA-H
NM_002116	HLA-A
NR_103542	HCG8
NR_001317	HCG4B
NM_006778	TRIM10
NM_052828	TRIM10
NM_007028	TRIM31
NM_033229	TRIM15
NR_027822	HLA-L
NM_003449	TRIM26
NM_001199120	RPP21
NM_172016	TRIM39
NM_024839	RPP21
NM_005516	HLA-E
NM_001164239	DHX16
NM_001134870	PPP1R18
NM_133471	PPP1R18
NM_001109938	C6orf136
NM_005803	FLOT1
NM_178014	TUBB
NM_001954	DDR1
NM_001202522	DDR1
NM_001167733	VARS2
NM_013993	DDR1
NM_001202523	DDR1
NM_080870	DPCR1
NM_001517	GTF2H4
NM_020442	VARS2
NM_001167734	VARS2
NM_001202521	DDR1
NM_205854	SFTA2
NM_001010909	MUC21
NM_001105563	CCHCR1
NM_019052	CCHCR1
NR_026791	HCG27
NM_001264	CDSN
NM_001285987	POU5F1
NM_014068	PSORS1C1
NM_001105564	CCHCR1
NM_001077511	TCF19
NM_005514	HLA-B
NM_001243042	HLA-C
NM_001177519	MICA
NM_005931	MICB
NM_001199240	GPANK1
NM_001288	CLIC1
NM_004638	PRRC2A
NM_001287593	CLIC1
NM_025258	VWA7
NM_006295	VARS
NM_005345	HSPA1A
NM_181842	ZBTB12
NR_040090	CYP21A1P
NM_019105	TNXB
NM_004557	NOTCH4
NM_006411	AGPAT1
NM_002586	PBX2
NM_001276501	GPSM3
NM_006781	C6orf10
NR_044996	HCG23
NM_019111	HLA-DRA
NM_002124	HLA-DRB1
NM_001243961	HLA-DQB1
NM_002123	HLA-DQB1
NM_002122	HLA-DQA1
NR_001298	HLA-DRB6
NM_001243965	HLA-DRB1
NM_020056	HLA-DQA2
NM_001198858	HLA-DQB2
NM_000544	TAP2
NM_002120	HLA-DOB
NM_018833	TAP2
NM_005104	BRD2
NM_001113182	BRD2
NM_080680	COL11A2
NM_021976	RXRB
NM_172209	TAPBP
NM_006772	SYNGAP1
NM_001014838	CUTA
NR_027692	PHF1
NM_001188	BAK1
NM_032340	UQCC2
NM_002224	ITPR3
NM_181336	LEMD2
NM_001184698	MLN
NM_001142883	IP6K3
NM_054111	IP6K3
NR_038989	LINC01016
NM_001204091	RPS10
NM_001252294	SPDEF
NM_017754	UHRF1BP1
NM_001261817	TCP11
NM_022047	DEF6
NM_021922	FANCE
NM_003214	TEAD3
NM_001252598	CLPS
NM_173676	PNPLA1
NM_020939	CPNE5
NM_001286636	C6orf89
NM_001271641	MTCH1
NM_002648	PIM1
NM_138493	CCDC167
NM_002062	GLP1R
NM_005943	MOCS1
NR_024015	TDRG1
NM_021705	NFYA
NM_002505	NFYA
NM_018643	TREM1
NM_024807	TREML2
NM_001242590	TREM1
NM_005586	MDFI
NM_001136125	CCND3
NM_002098	GUCA1B
NR_037141	ATP6V0CP3
NM_015349	GLTSCR1L
NM_198486	RPL7L1
NM_000287	PEX6
NM_018960	GNMT
NM_006443	DNPH1
NM_003131	SRF
NM_206539	DLK2
NM_001286656	DLK2
NM_001012974	LRRC73
NM_019096	GTPBP2
NM_006502	POLH
NM_001025368	VEGFA
NR_024478	LINC01512
NM_032111	MRPL14
NM_001137560	TMEM151B
NM_004955	SLC29A1
NM_020745	AARS2
NM_001286520	SLC35B2
NM_001286519	SLC35B2
NM_004556	NFKBIE
NM_001286511	SLC35B2
NM_001078175	SLC29A1
NM_001286517	SLC35B2
NM_001253	CDC5L
NM_153840	GPR110
NM_153839	GPR111
NM_153838	GPR115
NM_001010904	GLYATL3
NM_002190	IL17A
NM_001270472	MCM3
NM_133367	PAQR8
NR_103447	TRAM2-AS1
NM_014920	ICK
NM_001242828	ELOVL5
NR_046241	RPS16P5
NM_207410	GFRAL
NM_001257273	ZNF451
NM_001278666	RAB23
NR_103822	RAB23
NM_001190706	MTRNR2L9
NM_003463	PTP4A1
NR_026807	LINC00472
NM_001126063	KHDC1L
NM_001017361	KHDC3L
NM_001402	EEF1A1
NM_001170423	PRSS35
NM_153362	PRSS35
NM_138409	MRAP2
NM_001287445	SMIM8
NM_198568	GJB7
NR_026784	C6orf164
NM_080743	SRSF12
NM_001010853	PM20D2
NM_021244	RRAGD
NM_020466	LYRM2
NR_028493	LYRM2
NR_028494	LYRM2
NR_015362	TSG1
NM_005604	POU3F2
NM_017421	COQ3
NM_001195131	TSTD3
NM_021620	PRDM13
NM_001199563	BVES
NM_001624	AIM1
NR_033376	LINC00222
NM_003080	SMPD2
NM_001159291	MICAL1
NM_022765	MICAL1
NM_001286361	PPIL6
NM_015891	CDC40
NM_004032	DDO
NM_001289111	RPF2
NR_034110	TRAF3IP2-AS1
NR_034109	TRAF3IP2-AS1
NR_034108	TRAF3IP2-AS1
NM_001164283	TRAF3IP2
NR_028338	TRAF3IP2
NM_016262	TUBE1
NM_001033564	FAM229B
NR_033441	HDAC2
NM_001527	HDAC2
NM_002356	MARCKS
NM_002031	FRK
NR_027338	TPI1P3
NM_003309	TSPYL1
NM_021648	TSPYL4
NM_013352	DSE
NM_153711	FAM26E
NM_001161664	RSPH4A
NM_001085480	FAM162B
NM_182645	VGLL2
NM_138459	NUS1
NM_001270395	PKIB
NR_026876	RNF217-AS1
NM_014702	KIAA0408
NM_001258276	TMEM200A
NM_001195597	SMLR1
NM_006208	ENPP1
NM_001901	CTGF
NM_003967	TAAR5
NM_198392	TCF21
NR_027030	LINC01312
NR_038219	LINC01010
NM_014739	BCLAF1
NM_001077440	BCLAF1
NM_001008783	SLC35D3
NM_006290	TNFAIP3
NM_014320	HEBP2
NM_001286612	REPS1
NM_001286611	REPS1
NM_021243	ABRACL
NM_001168388	CITED2
NR_038987	LINC01277
NM_001286259	ADAT2
NM_182503	ADAT2
NM_032020	FUCA2
NM_003764	STX11
NM_006834	RAB32
NM_207360	ZC3H12D
NR_104456	NUP43
NM_198887	NUP43
NM_032832	LRP11
NM_001243327	RAET1E
NM_001164695	IYD
NM_001164694	IYD
NM_203395	IYD
NM_001242769	MTHFD1L
NM_020861	ZBTB2
NM_019041	MTRF1L
NM_001285526	OPRM1
NM_001145287	OPRM1
NM_001010927	TIAM2
NM_001001346	CLDN20
NM_018452	TMEM242
NR_073096	SERAC1
NM_003379	EZR
NM_000636	SOD2
NM_005891	ACAT2
NR_047514	AIRN
NM_003058	SLC22A2
NR_028093	LPAL2
NM_000301	PLG
NM_001168338	PLG
NR_028390	PACRG-AS1
NR_033862	DKFZp451B082
NR_037593	CAHM
NR_026860	LINC00473
NR_027284	LINC00602
NM_003181	T
NM_175922	PRR18
NM_001270879	MPC1
NR_073093	MPC1
NM_003730	RNASET2
NM_004367	CCR6
NM_001129895	HGC6.3
NR_103750	KIF25-AS1
NR_110312	FRMD1
NM_003247	THBS2
NM_133325	PHF10
NM_018288	PHF10
NM_001029863	C6orf120
NR_026780	LINC00574
NR_104177	FLJ38122
NM_005618	DLL1
NM_001199464	PDCD2
NM_001199463	PDCD2
NM_002598	PDCD2
NM_020299	AKR1B10
NM_001259	CDK6
NM_004227	CYTH3
NM_152744	SDK1
NM_015204	THSD7A
NM_178423	HDAC9
NM_004289	NFE2L3
NM_080631	VPS41
NM_001167935	CCM2
NM_152701	ABCA13
NR_003655	POLR2J4
NM_015198	COBL
NM_001287436	COBL
NM_015570	AUTS2
NM_001017440	CALN1
NM_001127231	AUTS2
NM_012301	MAGI2
NM_000722	CACNA2D1
NM_003439	ZKSCAN1
NM_003496	TRRAP
NM_001287055	ZKSCAN1
NM_005746	NAMPT
NM_182692	SRPK2
NM_181552	CUX1
NM_032549	IMMP2L
NM_001127500	MET
NM_015328	AHCYL2
NM_021807	EXOC4
NM_130841	ATP6V0A4
NM_001113239	HIPK2
NM_004717	DGKI
NM_003575	ZNF282
NM_002847	PTPRN2
NR_110157	LOC101927914
NM_130797	DPP6
NM_170606	KMT2C
NM_020223	FAM20C
NM_015949	GET4
NM_001164759	PRKAR1B
NR_075098	DNAAF5
NM_002360	MAFK
NM_007353	GNA12
NM_152558	IQCE
NM_001287501	IQCE
NM_018059	RADIL
NR_015343	RBAKDN
NM_001270375	MMD2
NM_032172	USP42
NM_003088	FSCN1
NM_001080495	TNRC18
NM_001145118	GRID2IP
NM_173565	RSPH10B
NM_018890	RAC1
NM_001099697	RSPH10B2
NM_006908	RAC1
NM_001278559	ZNF316
NM_138426	GLCCI1
NR_110018	LOC100505921
NR_033436	PHF14
NM_001101426	ISPD
NM_020319	ANKMY2
NM_178559	ABCB5
NM_182762	MACC1
NM_002214	ITGB8
NM_003112	SP4
NM_012294	RAPGEF5
NM_018846	KLHL7
NR_048542	STK31
NM_199136	FAM221A
NM_001127453	DFNA5
NM_015550	OSBPL3
NM_001199835	SNX10
NM_175061	JAZF1
NM_019029	CPVL
NM_182898	CREB5
NM_031311	CPVL
NM_001011666	CREB5
NM_001145513	SCRN1
NM_001080529	WIPF3
NM_001191059	PDE1C
NR_003502	ZNRF2P1
NM_133468	BMPER
NM_001077653	TBX20
NM_030636	EEPD1
NM_001206482	ELMO1
NR_040085	TRG-AS1
NM_139316	AMPH
NM_000168	GLI3
NM_001287059	HECW1
NM_004760	STK17A
NM_001165036	OGDH
NM_172078	CAMK2B
NM_021116	ADCY1
NM_022748	TNS3
NM_198570	VWC2
NM_004577	PSPH
NR_029420	LOC650226
NM_173517	VKORC1L1
NM_001284342	VKORC1L1
NR_027392	INTS4P2
NR_038378	LOC441242
NM_022479	WBSCR17
NM_001135211	FKBP6
NR_003580	LOC100093631
NR_027776	PMS2P5
NR_002206	GTF2IP1
NM_032408	BAZ1B
NM_002314	LIMK1
NR_027776	PMS2P5
NR_027775	PMS2P5
NM_001243198	HIP1
NM_005338	HIP1
NR_027776	PMS2P5
NR_002206	GTF2IP1
NR_003664	SPDYE8P
NM_080744	SSC4D
NM_016086	STYXL1
NM_001110199	SRRM3
NM_182683	UPK3B
NM_030570	UPK3B
NR_028058	PMS2P9
NM_002069	GNAI1
NM_006379	SEMA3C
NR_110076	LOC101927356
NM_014510	PCLO
NM_006080	SEMA3A
NM_001142749	KIAA1324L
NM_181646	ZNF804B
NM_001287135	CDK14
NM_001164738	CALCR
NM_014916	LMTK2
NM_145115	ZSCAN25
NM_001199847	SMURF1
NM_004444	EPHB4
NM_001278563	COL26A1
NM_133457	COL26A1
NM_006989	RASA4
NM_001079877	RASA4
NR_110141	LOC101927870
NM_173054	RELN
NR_027768	DPY19L2P2
NR_003561	DPY19L2P2
NM_018682	KMT2E
NM_019042	PUS7
NM_002736	PRKAR2B
NM_175884	CCDC71L
NM_014705	DOCK4
NM_001146266	GPR85
NM_152829	TES
NM_015641	TES
NM_016200	LSM8
NM_016087	WNT16
NM_005763	AASS
NM_003941	WASL
NM_005631	SMO
NM_014997	KLHDC10
NM_003344	UBE2H
NM_182697	UBE2H
NM_020704	STRIP2
NM_001018111	PODXL
NM_015905	TRIM24
NM_173569	UBN2
NM_052853	ADCK2
NM_030647	KDM7A
NM_001195278	TMEM178B
NR_015392	WEE2-AS1
NR_033897	EPHA1-AS1
NR_015421	LOC154761
NM_032534	KRBA1
NM_001099220	ZNF862
NM_173680	ZNF775
NM_022458	LMBR1
NM_138400	NOM1
NM_020728	ESYT2
NM_003382	VIPR2
NM_001195127	WI2-2373I1.2
NM_002607	PDGFA
NM_033023	PDGFA
NR_033963	FLJ44511
NR_110054	LOC101926963
NM_017781	CYP2W1
NM_001031617	COX19
NM_001505	GPER1
NM_001098201	GPER1
NM_001080461	UNCX
NR_110067	LOC101927021
NR_110065	LOC101927021
NM_182924	MICALL2
NR_021487	PSMG3-AS1
NR_027328	PSMG3-AS1
NR_001288	TFAMP1
NM_001128636	ELFN1
NM_013321	SNX8
NM_001037283	EIF3B
NR_108066	LOC101927181
NM_001040168	LFNG
NM_025250	TTYH3
NM_001282441	GNA12
NM_001282440	GNA12
NM_014855	AP5Z1
NM_001037165	FOXK1
NM_001040661	SLC29A4
NM_153247	SLC29A4
NM_001101	ACTB
NM_024963	FBXL18
NM_173565	RSPH10B
NM_001099697	RSPH10B2
NM_015622	CCZ1
NM_014413	EIF2AK1
NM_001037163	FAM220A
NM_139179	DAGLB
NM_006854	KDELR2
NM_001100603	KDELR2
NM_017560	ZNF853
NM_024067	C7orf26
NM_016265	ZNF12
NM_198097	CCZ1B
NR_034022	LOC100131257
NM_020156	C1GALT1
NM_212460	ARL4A
NM_014399	TSPAN13
NM_001621	AHR
NM_000474	TWIST1
NM_182700	SP8
NM_198956	SP8
NR_046220	KLHL7-AS1
NM_001005340	GPNMB
NR_026676	RPS2P32
NM_018947	CYCS
NM_007276	CBX3
NR_022006	KIAA0087
NM_002141	HOXA4
NM_000522	HOXA13
NR_036482	DPY19L2P3
NR_024278	LOC646762
NR_027347	ZNRF2P2
NR_046478	FKBP14
NM_017946	FKBP14
NR_046479	FKBP14
NM_147128	ZNRF2
NR_038889	LOC401320
NM_006774	INMT
NM_001185062	AQP1
NM_001118	ADCYAP1R1
NM_001199637	ADCYAP1R1
NM_001199635	ADCYAP1R1
NM_001199636	ADCYAP1R1
NR_036501	LINC00997
NR_003500	RP9P
NM_001002009	NT5C3A
NM_003014	SFRP4
NR_028347	FAM183B
NR_026999	LINC00265
NM_002787	PSMA2
NM_017920	URGCP
NM_001077664	URGCP
NM_015983	UBE2D4
NM_001127218	POLD2
NR_024116	RASA4CP
NM_001129	AEBP1
NM_033507	GCK
NM_033224	PURB
NM_021130	PPIA
NM_033054	MYO1G
NM_199122	TBRG4
NR_024271	SEPT7P2
NM_000598	IGFBP3
NM_001013398	IGFBP3
NR_108090	LINC01447
NM_001123065	C7orf65
NM_001284350	SUN3
NR_003595	CDC14C
NM_022116	FIGNL1
NM_182595	POM121L12
NR_004422	HPVC1
NR_047551	EGFR-AS1
NM_207366	SEPT14
NM_182633	ZNF713
NM_001258460	PHKG1
NM_001009186	CCT6A
NR_108099	LOC101928401
NR_003952	ZNF733P
NR_028349	LOC100287834
NR_028349	LOC100287834
NR_028348	LOC100287704
