#name	name2
NM_013943	CLIC4
NM_001166373	MARCH1
NM_001128428	FSTL5
NR_038838	LOC100506122
NM_001034845	GALNTL6
NM_001009554	MFAP3L
NM_018248	NEIL3
NM_001080477	TENM3
NM_001145670	SORBS2
NM_001145671	SORBS2
NM_001145672	SORBS2
NM_001145291	PDE6B
NM_006651	CPLX1
NM_017733	PIGG
NM_001286833	GAK
NM_001127178	PIGG
NM_005255	GAK
NM_000283	PDE6B
NM_001289051	PIGG
NM_006527	SLBP
NM_001199021	SPON2
NM_012318	LETM1
NM_001042424	WHSC1
NM_001017405	MAEA
NM_005882	MAEA
NM_176801	ADD1
NM_020972	ZFYVE28
NM_001185009	RNF4
NM_001185010	RNF4
NM_001172659	ZFYVE28
NM_001161527	TNIP2
NM_001172657	ZFYVE28
NM_001172656	ZFYVE28
NM_024309	TNIP2
NM_001286645	ADD1
NM_001004057	GRK4
NM_182982	GRK4
NM_005307	GRK4
NM_002926	RGS12
NM_198229	RGS12
NM_016930	STX18
NR_037888	STX18-AS1
NM_001166136	EVC2
NM_153717	EVC
NM_001099433	JAKMIP1
NM_147127	EVC2
NM_001130087	ABLIM2
NM_001130086	ABLIM2
NM_001286688	ABLIM2
NM_001130088	ABLIM2
NM_001130085	ABLIM2
NM_001134647	AFAP1
NM_198595	AFAP1
NM_020041	SLC2A9
NM_017491	WDR1
NM_001001290	SLC2A9
NM_005114	HS3ST1
NM_001080522	CC2D2A
NR_038857	CPEB2-AS1
NM_001145847	PROM1
NR_027697	TAPT1-AS1
NR_027696	TAPT1-AS1
NM_153686	LCORL
NM_001166139	LCORL
NM_001258346	PACRGL
NM_004787	SLIT2
NM_147181	KCNIP4
NM_001289135	SLIT2
NM_020973	GBA3
NR_102355	GBA3
NM_145290	GPR125
NM_013261	PPARGC1A
NM_173463	CCDC149
NM_015187	SEL1L3
NM_005349	RBPJ
NM_001169117	STIM2
NM_015874	RBPJ
NM_203284	RBPJ
NM_018317	TBC1D19
NM_001173523	PCDH7
NM_032457	PCDH7
NM_015230	ARAP2
NM_001170700	DTHD1
NM_001136536	DTHD1
NM_001144990	NWD2
NM_001085400	RELL1
NM_001104629	C4orf19
NM_016531	KLF3
NM_015173	TBC1D1
NR_026804	KLF3-AS1
NM_001253912	TBC1D1
NM_001204747	RFC1
NM_005339	UBE2K
NR_047679	UGDH-AS1
NR_033290	FAM114A1
NM_175737	KLB
NM_174921	SMIM14
NM_138389	FAM114A1
NM_002913	RFC1
NM_025132	WDR19
NM_001111113	UBE2K
NM_001111112	UBE2K
NM_001171654	KLHL5
NM_001007075	KLHL5
NM_001278366	RHOH
NM_018177	N4BP2
NM_019027	RBM47
NM_024677	NSUN7
NM_001098634	RBM47
NM_001278368	RHOH
NM_014988	LIMCH1
NM_001289124	LIMCH1
NM_001289122	LIMCH1
NM_006345	SLC30A9
NM_006095	ATP8A1
NM_001105529	ATP8A1
NM_198353	KCTD8
NM_021927	GUF1
NM_000809	GABRA4
NM_001142564	CNGA1
NM_003328	TXK
NM_020453	ATP10D
NM_001278585	CORIN
NM_015030	FRYL
NM_025087	CWH43
NM_020846	SLAIN2
NM_001286791	CWH43
NM_145263	SPATA18
NM_152540	SCFD2
NM_012110	CHIC2
NM_002253	KDR
NM_024592	SRD5A3
NM_001267843	CLOCK
NM_002703	PPAT
NM_025009	CEP135
NM_001256475	THEGL
NM_020722	KIAA1211
NR_033976	LOC401134
NM_001010874	TECRL
NM_004439	EPHA5
NM_182472	EPHA5
NM_001281767	EPHA5
NM_001281766	EPHA5
NM_182606	TMPRSS11A
NM_001114387	TMPRSS11A
NR_104048	TMPRSS11BNL
NM_207407	TMPRSS11F
NM_018227	UBA6
NM_014058	TMPRSS11E
NM_006798	UGT2A1
NM_001244767	MOB1B
NM_173468	MOB1B
NM_002092	GRSF1
NM_001244766	MOB1B
NM_001098477	GRSF1
NM_001204307	GC
NM_004885	NPFFR2
NM_053036	NPFFR2
NM_001286771	ANKRD17
NM_173827	COX18
NM_032217	ANKRD17
NM_198889	ANKRD17
NM_001144978	MTHFD2L
NM_001432	EREG
NR_103724	RCHY1
NR_103723	RCHY1
NM_015393	PARM1
NM_001278536	RCHY1
NM_001278537	RCHY1
NM_001130017	ART3
NM_006239	PPEF2
NM_003715	USO1
NM_006835	CCNI
NM_025074	FRAS1
NM_001166133	FRAS1
NM_198892	BMP2K
NR_038826	LINC00989
NM_058172	ANTXR2
NM_001286781	ANTXR2
NM_006259	PRKG2
NM_001282480	PRKG2
NM_001282481	PRKG2
NM_021204	ENOPH1
NM_001191049	SEC31A
NM_024906	SCD5
NM_001077207	SEC31A
NM_001037582	SCD5
NM_001130716	PLAC8
NM_031305	ARHGAP24
NM_001025616	ARHGAP24
NM_080683	PTPN13
NM_005935	AFF1
NM_006264	PTPN13
NM_080684	PTPN13
NM_080685	PTPN13
NM_001166693	AFF1
NM_001265579	FAM13A
NM_014606	HERC3
NM_014883	FAM13A
NM_016323	HERC5
NM_001265578	FAM13A
NM_001146054	SNCA
NM_001146055	SNCA
NM_000345	SNCA
NM_007308	SNCA
NM_001256794	BMPR1B
NM_001256793	BMPR1B
NR_102713	STPG2-AS1
NM_005723	TSPAN5
NM_001100428	RAP1GDS1
NM_000671	ADH5
NM_000669	ADH1C
NR_037884	LOC100507053
NM_001102470	ADH6
NM_000253	MTTP
NM_001159694	EMCN
NM_001130691	PPP3CA
NM_005908	MANBA
NM_001813	CENPE
NM_001059	TACR3
NM_139173	SLC9B1
NM_176869	PPA2
NM_006903	PPA2
NM_176866	PPA2
NM_001127208	TET2
NM_001242729	ARHGEF38
NM_024751	GSTCD
NM_001031720	GSTCD
NM_033115	TBCK
NM_021227	OSTC
NM_001178130	EGF
NM_001178131	EGF
NM_001130721	ELOVL6
NM_001042734	SEC24B
NM_017918	CCDC109B
NM_001963	EGF
NM_006583	RRH
NM_153426	PITX2
NM_000325	PITX2
NM_018392	ZGRF1
NM_172128	CAMK2D
NM_172127	CAMK2D
NM_001221	CAMK2D
NM_172129	CAMK2D
NM_022569	NDST4
NM_004784	NDST3
NM_001083	PDE5A
NM_001286755	SYNPO2
NM_033430	PDE5A
NM_016599	MYOZ2
NM_019050	USP53
NM_001128933	SYNPO2
NM_001128934	SYNPO2
NM_001286754	SYNPO2
NM_198179	QRFPR
NM_015312	KIAA1109
NM_001130698	TRPC3
NM_001159285	ADAD1
NM_139243	ADAD1
NM_003305	TRPC3
NR_104126	IL21-AS1
NM_145207	SPATA5
NM_024582	FAT4
NM_152778	MFSD8
NM_001287443	JADE1
NM_024900	JADE1
NM_018078	LARP1B
NM_001287437	JADE1
NM_001287439	JADE1
NM_144643	SCLT1
NM_032961	PCDH10
NR_051987	LINC00499
NR_038380	SLC7A11-AS1
NM_001276457	ELF2
NM_031296	RAB33B
NM_001276459	ELF2
NM_018717	MAML3
NM_020724	RNF150
NM_002039	GAB1
NM_207123	GAB1
NM_001168235	FREM3
NM_022475	HHIP
NM_001029998	SLC10A7
NM_001166104	NR3C2
NM_000901	NR3C2
NM_001199282	LRBA
NR_036614	DCLK2
NM_001040260	DCLK2
NM_001040261	DCLK2
NM_014447	ARFIP1
NM_033393	FHDC1
NM_173662	RNF175
NM_015196	KIAA0922
NM_001277173	RBM46
NM_001142552	DCHS2
NM_000856	GUCY1A3
NM_001130685	GUCY1A3
NM_001130683	GUCY1A3
NM_001130684	GUCY1A3
NM_001130682	GUCY1A3
NM_001166061	GLRB
NM_016205	PDGFC
NM_001083619	GRIA2
NM_000826	GRIA2
NM_017923	MARCH1
NM_001873	CPE
NR_026575	GK3P
NM_001204760	TLL1
NM_012464	TLL1
NM_001166108	PALLD
NM_001012967	DDX60L
NM_001199399	NEK1
NM_020870	SH3RF1
NM_001199400	NEK1
NM_017423	GALNT7
NM_014269	ADAM29
NM_001145314	CEP44
NM_006529	GLRA3
NM_001278125	ADAM29
NM_001042543	GLRA3
NM_170710	WDR17
NM_005277	GPM6A
NM_181265	WDR17
NR_108092	LINC01099
NM_024949	WWC2
NR_033995	LOC389247
NM_153343	ENPP6
NM_001145411	CCDC110
NM_001995	ACSL1
NM_152775	CCDC110
NM_031953	SNX25
NM_001286711	ACSL1
NM_005245	FAT1
NR_038931	LOC339975
NM_001286052	ZNF595
NM_001286053	ZNF595
NM_182524	ZNF595
NM_001286054	ZNF595
NM_003441	ZNF141
NM_133474	ZNF721
NR_002451	ABCA11P
NM_007100	ATP5I
NR_036512	LOC100129917
NR_036511	LOC100129917
NM_006315	PCGF3
NM_032219	MFSD7
NM_001347	DGKQ
NM_021923	FGFRL1
NM_022042	SLC26A1
NM_213613	SLC26A1
NM_001004356	FGFRL1
NM_001004358	FGFRL1
NM_032326	TMEM175
NM_001193318	RNF212
NM_012445	SPON2
NM_001131034	RNF212
NM_001128325	SPON2
NM_001012614	CTBP1
NM_001328	CTBP1
NR_033339	CTBP1-AS2
NR_024569	LOC100130872
NR_104331	CTBP1-AS
NM_175918	CRIPAK
NM_020894	UVSSA
NM_001013622	FAM53A
NM_001174070	FAM53A
NM_001163213	FGFR3
NM_000142	FGFR3
NM_006342	TACC3
NM_001127266	TMEM129
NM_138385	TMEM129
NM_133334	WHSC1
NM_178557	NAT8L
NM_005663	NELFA
NM_006454	MXD4
NM_024511	HAUS3
NM_001193282	CFAP99
NM_001256666	FAM193A
NM_003023	SH3BP2
NM_001145856	SH3BP2
NM_001145855	SH3BP2
NM_001122681	SH3BP2
NM_001120	MFSD10
NM_003703	NOP14
NM_001042690	MSANTD1
NM_173660	DOK7
NM_001256896	DOK7
NM_001164673	DOK7
NM_002337	LRPAP1
NR_110005	LRPAP1
NM_001528	HGFAC
NR_040045	LINC00955
NR_034136	LOC100133461
NM_000683	ADRA2C
NR_024253	FAM86EP
NM_017816	LYAR
NM_032927	TMEM128
NM_001287763	NSG1
NM_014392	NSG1
NM_001040101	NSG1
NM_002448	MSX1
NM_018659	CYTL1
NM_001313	CRMP1
NM_001288662	CRMP1
NM_001014809	CRMP1
NM_181876	PPP2R2C
NM_001272053	MRFAP1
NR_015433	LOC93622
NM_001272054	MRFAP1
NM_015274	MAN2B2
NM_005980	S100P
NM_203462	MRFAP1L1
NM_018366	BLOC1S4
NR_033828	LOC100129931
NM_153376	CCDC96
NM_001286805	TBC1D14
NM_152293	TADA2B
NM_001085382	PSAPL1
NR_026892	AFAP1-AS1
NM_018986	SH3TC1
NM_053044	HTRA3
NM_152544	TRMT44
NM_080819	GPR78
NM_003652	CPZ
NM_001014448	CPZ
NM_001014447	CPZ
NR_045511	GPR78
NM_018942	HMX1
NM_001040071	LOC650293
NM_001256859	USP17L18
NM_001256859	USP17L18
NM_001256854	USP17L11
NM_001256854	USP17L11
NM_001256854	USP17L11
NM_001256853	USP17L12
NM_001256853	USP17L12
NM_001256863	USP17L22
NM_001256894	USP17L15
NM_001256862	USP17L21
NM_001256862	USP17L21
NM_001256860	USP17L19
NM_001256863	USP17L22
NM_001256861	USP17L20
NM_001256861	USP17L20
NM_001256861	USP17L20
NM_001256855	USP17L13
NM_001242326	USP17L25
NM_001242326	USP17L25
NM_001242326	USP17L25
NM_001242326	USP17L25
NM_001242332	USP17L29
NM_001242332	USP17L29
NM_001242332	USP17L29
NM_001242326	USP17L25
NM_001242326	USP17L25
NM_001242326	USP17L25
NM_001242326	USP17L25
NM_001242331	USP17L28
NM_001242331	USP17L28
NM_001242331	USP17L28
NM_001242330	USP17L27
NM_001242330	USP17L27
NM_001242330	USP17L27
NM_001242330	USP17L27
NM_001242330	USP17L27
NM_001242330	USP17L27
NM_001242330	USP17L27
NM_001242330	USP17L27
NM_001242329	USP17L5
NM_001242329	USP17L5
NM_001242329	USP17L5
NM_001242329	USP17L5
NM_001242329	USP17L5
NM_001242329	USP17L5
NM_001242329	USP17L5
NM_001242329	USP17L5
NR_046416	USP17L9P
NM_001242331	USP17L28
NM_001242331	USP17L28
NM_001242331	USP17L28
NM_001242331	USP17L28
NM_001242331	USP17L28
NM_001242332	USP17L29
NM_001242332	USP17L29
NM_001242332	USP17L29
NM_001242332	USP17L29
NM_001242332	USP17L29
NR_027279	USP17L6P
NM_001040448	DEFB131
NM_000798	DRD5
NM_053042	ZNF518B
NM_004249	RAB28
NM_001017979	RAB28
NM_001189	NKX3-2
NR_015450	LINC01096
NR_034054	LINC01097
NM_148894	BOD1L1
NR_033931	LINC01085
NM_001177384	CPEB2
NM_182646	CPEB2
NM_001177383	CPEB2
NM_182485	CPEB2
NM_001177382	CPEB2
NM_001135171	C1QTNF7
NM_001135170	C1QTNF7
NM_020785	CC2D2A
NM_001164720	CC2D2A
NM_001145191	FAM200B
NM_031950	FGFBP2
NM_153365	TAPT1
NM_000320	QDPR
NM_001079827	CLRN2
NM_025205	MED28
NM_015907	LAP3
NM_017741	DCAF16
NR_037876	SLIT2-IT1
NR_002813	KCNIP4-IT1
NM_001358	DHX15
NM_003102	SOD3
NM_018176	LGI2
NM_016955	SEPSECS
NM_018323	PI4K2B
NM_013367	ANAPC4
NM_024936	ZCCHC4
NM_001286756	ANAPC4
NM_001177999	SLC34A2
NM_006424	SLC34A2
NM_001145432	SMIM20
NM_002589	PCDH7
NM_032456	PCDH7
NM_018302	C4orf19
NM_018290	PGM2
NM_001253915	TBC1D1
NM_001195108	TLR10
NM_001195106	TLR10
NM_001195107	TLR10
NM_030956	TLR10
NM_006068	TLR6
NM_003263	TLR1
NM_024943	TMEM156
NM_015990	KLHL5
NM_199039	KLHL5
NM_000661	RPL9
NM_003359	UGDH
NM_001184700	UGDH
NM_001184701	UGDH
NR_026854	LOC401127
NM_001278590	LIAS
NR_027277	LOC344967
NM_017581	CHRNA9
NM_001166051	APBB2
NR_102709	UCHL1-AS1
NM_003924	PHOX2B
NR_104143	LINC00682
NM_001029955	DCAF4L1
NM_001159547	BEND4
NM_207406	BEND4
NM_001080505	SHISA3
NM_138335	GNPDA2
NM_173536	GABRG1
NM_152995	NFXL1
NM_001278623	NFXL1
NM_207330	NIPAL1
NM_175619	ZAR1
NM_152679	SLC10A4
NM_001287757	DCUN1D4
NM_001287755	DCUN1D4
NM_000232	SGCB
NM_001024611	LRRC66
NM_001242690	ERVMER34-1
NR_046827	LNX1-AS2
NR_027153	RPL21P44
NM_133267	GSX2
NM_006206	PDGFRA
NM_006452	PAICS
NM_006947	SRP72
NM_001079524	PAICS
NM_001267722	SRP72
NM_139211	HOPX
NM_005612	REST
NM_001271718	SPINK2
NM_021114	SPINK2
NM_032313	NOA1
NR_034138	EPHA5-AS1
NR_031673	MIR1269A
NM_000406	GNRHR
NR_015439	UBA6-AS1
NR_027094	SYT14P1
NR_046116	LOC550113
NM_182502	TMPRSS11B
NM_001077	UGT2B17
NM_001076	UGT2B15
NM_001075	UGT2B10
NM_001144767	UGT2B10
NM_024743	UGT2A3
NR_024010	UGT2A3
NM_001075	UGT2B10
NM_001074	UGT2B7
NM_001144767	UGT2B10
NM_001073	UGT2B11
NM_001207004	UGT2B28
NM_021139	UGT2B4
NM_214711	PRR27
NM_005212	CSN3
NM_033122	CABS1
NM_021225	PROL1
NM_212557	AMTN
NM_001145007	MUC7
NM_020368	UTP3
NM_016519	AMBN
NM_031889	ENAM
NM_001037442	RUFY3
NM_001130709	RUFY3
NM_000788	DCK
NM_000584	CXCL8
NM_001511	CXCL1
NM_002090	CXCL3
NM_002089	CXCL2
NM_002994	CXCL5
NR_073117	EPGN
NR_073114	EPGN
NM_001657	AREG
NM_001657	AREG
NM_001729	BTC
NM_144721	THAP6
NM_001257072	C4orf26
NR_046430	C4orf26
NM_203505	G3BP2
NM_001288984	SDAD1
NM_001042402	NAAA
NM_001288983	SDAD1
NM_002416	CXCL9
NM_005409	CXCL11
NM_001179	ART3
NM_001204255	SCARB2
NM_003943	STBD1
NM_001029870	SOWAHB
NM_004354	CCNG2
NM_005139	ANXA3
NR_038308	LINC01094
NR_038306	LINC01094
NR_038305	LINC01094
NM_001145794	ANTXR2
NM_001099403	PRDM8
NM_020226	PRDM8
NM_004464	FGF5
NM_033143	FGF5
NM_001201	BMP3
NM_031370	HNRNPD
NM_002138	HNRNPD
NM_031372	HNRNPDL
NR_003249	HNRNPDL
NM_001003810	HNRNPD
NR_024087	LINC00575
NR_024088	LINC00575
NM_024672	THAP9
NR_034076	THAP9-AS1
NR_034075	THAP9-AS1
NR_034077	THAP9-AS1
NM_015697	COQ2
NM_001166498	HPSE
NM_001098540	HPSE
NM_001199830	HPSE
NM_139076	FAM175A
NM_016067	MRPS18C
NM_133636	HELQ
NM_032717	AGPAT9
NM_001256422	AGPAT9
NM_006168	NKX6-1
NM_001263	CDS1
NM_197965	SLC10A6
NM_144645	C4orf36
NR_038841	LOC100506746
NM_020803	KLHL8
NM_001136230	HSD17B13
NM_178135	HSD17B13
NM_004684	SPARCL1
NM_024047	NUDT9
NM_198038	NUDT9
NM_001248011	NUDT9
NM_001128310	SPARCL1
NM_004407	DMP1
NM_014208	DSPP
NM_004967	IBSP
NM_001251830	SPP1
NM_001040058	SPP1
NM_152542	PPM1K
NM_001165136	HERC6
NM_017912	HERC6
NM_032906	PYURF
NM_001042616	PIGY
NM_153757	NAP1L5
NR_002806	FAM13A-AS1
NM_145715	TIGD2
NR_045481	SNCA-AS1
NR_046186	PDLIM5
NM_001968	EIF4E
NM_001130679	EIF4E
NM_001130678	EIF4E
NM_015143	METAP1
NM_000670	ADH4
NM_001286650	ADH1B
NM_000673	ADH7
NM_001166504	ADH7
NM_001134665	TRMT10A
NM_032149	C4orf17
NM_014395	DAPP1
NM_001278310	DNAJB14
NM_001278311	DNAJB14
NM_001243736	LAMTOR3
NM_145244	DDIT4L
NM_001135147	SLC39A8
NM_001135148	SLC39A8
NM_181893	UBE2D3
NM_181886	UBE2D3
NM_181892	UBE2D3
NM_181891	UBE2D3
NM_003340	UBE2D3
NM_020139	BDH2
NM_178833	SLC9B2
NM_025212	CXXC4
NM_017628	TET2
NM_017700	ARHGEF38
NM_020395	INTS12
NM_005443	PAPSS1
NM_183075	CYP2U1
NR_029373	LEF1-AS1
NR_026968	RPL34-AS1
NM_033625	RPL34
NM_000995	RPL34
NM_001146627	ETNPPL
NR_039978	SEC24B-AS1
NM_001226	CASP6
NM_032992	CASP6
NM_018983	GAR1
NM_030821	PLA2G12A
NM_032993	GAR1
NM_198506	LRIT3
NM_152400	C4orf32
NM_052864	TIFA
NM_024019	NEUROG2
NM_015454	LARP7
NR_049768	LARP7
NM_024590	ARSJ
NM_003360	UGT8
NM_001128174	UGT8
NM_003619	PRSS12
NM_020961	METTL14
NR_103825	LOC729218
NM_000134	FABP2
NM_001170330	C4orf3
NM_001001701	C4orf3
NR_037630	LOC645513
NR_037596	LINC01061
NM_024574	NDNF
NM_024873	TNIP3
NR_024365	PP12613
NM_001237	CCNA2
NM_005033	EXOSC9
NM_018190	BBS7
NM_176824	BBS7
NM_000586	IL2
NM_001207006	IL21
NM_021803	IL21
NM_152618	BBS12
NM_007083	NUDT6
NM_198041	NUDT6
NM_002006	FGF2
NM_005841	SPRY1
NM_199327	SPRY1
NM_001167882	ANKRD50
NM_031291	SLC25A31
NM_001039717	C4orf29
NM_032239	LARP1B
NM_178043	LARP1B
NM_006320	PGRMC2
NM_020815	PCDH10
NM_001114734	PABPC4L
NM_019035	PCDH18
NR_037866	LINC00616
NM_014331	SLC7A11
NM_012118	CCRN4L
NM_032623	MGARP
NM_001184986	NDUFC1
NM_030648	SETD7
NR_033939	SCOC-AS1
NM_001277353	MGAT4D
NR_077215	TNRC18P1
NM_014487	ZNF330
NM_032557	USP38
NR_104027	SMARCA5-AS1
NR_003675	GUSBP5
NM_198682	GYPE
NM_002102	GYPE
NM_002099	GYPA
NR_037595	HHIP-AS1
NM_001102653	OTUD4
NM_002940	ABCE1
NM_017493	OTUD4
NR_108077	SMAD1-AS2
NM_001080531	C4orf51
NM_172250	MMAA
NM_007080	LSM6
NM_004575	POU4F2
NR_045958	EDNRA
NM_001166055	EDNRA
NM_001957	EDNRA
NM_138364	PRMT9
NM_018241	TMEM184C
NM_006439	MAB21L2
NM_001006	RPS3A
NM_001267699	RPS3A
NM_183375	PRSS48
NM_004564	GATB
NM_145720	TIGD4
NM_003264	TLR2
NM_003013	SFRP2
NM_002669	PLRG1
NM_001184741	FGB
NM_001201564	PLRG1
NM_005141	FGB
NM_004744	LRAT
NM_000910	NPY2R
NM_001039580	MAP9
NM_000857	GUCY1B3
NM_001334	CTSO
NR_026992	LOC340017
NM_001128424	FAM198B
NM_016613	FAM198B
NM_001031700	FAM198B
NM_005038	PPID
NM_004453	ETFDH
NM_001008393	C4orf46
NR_077235	C4orf46
NM_014247	RAPGEF2
NM_001128931	NAF1
NM_138386	NAF1
NM_012403	ANP32C
NR_038834	LINC01207
NM_153027	FAM218A
NM_001012414	TRIM61
NM_001258025	TRIM60
NM_001100389	TMEM192
NM_001017369	MSMO1
NM_001166110	PALLD
NM_032783	CBR4
NM_001243374	CLCN3
NR_037878	LOC100506085
NM_003864	SAP30
NM_021973	HAND2
NM_001040157	CEP44
NM_001145816	HPGD
NM_001256305	HPGD
NM_001256307	HPGD
NM_080874	ASB5
NM_021928	SPCS3
NM_005429	VEGFC
NM_000027	AGA
NR_027107	LOC90768
NM_001921	DCTD
NM_001012732	DCTD
NR_024008	WWC2-AS2
NM_017632	CDKN2AIP
NM_152682	RWDD4
NM_021942	TRAPPC11
NM_199053	TRAPPC11
NM_020225	STOX2
NM_004346	CASP3
NM_024629	CENPU
NM_001286710	ACSL1
NR_104593	CENPU
NR_039975	LINC01093
NR_037867	LOC731424
NM_001151	SLC25A4
NM_018409	LRP2BP
NM_018359	UFSP2
NR_028085	UFSP2
NM_003265	TLR3
NM_207352	CYP4V2
NR_046264	FLJ38576
NM_174900	ZFP42
NM_178556	TRIML1
NM_173553	TRIML2
NM_004477	FRG1
NM_001286820	FRG2
NM_024715	TXNDC15
NM_012334	MYO10
NM_030955	ADAMTS12
NR_039984	LOC729506
NM_001104631	PDE4D
NM_001146321	GRAMD3
NM_001146320	GRAMD3
NM_001146319	GRAMD3
NM_002372	MAN2A1
NM_014979	SV2C
NM_001161661	WWC1
NM_001161662	WWC1
NM_001135608	ARHGAP26
NM_015238	WWC1
NM_000679	ADRA1B
NM_015071	ARHGAP26
NM_139056	ADAMTS16
NM_003966	SEMA5A
NM_001332	CTNND2
NR_033383	LINC01194
NM_001278317	FBXL7
NM_004061	CDH12
NM_013235	DROSHA
NM_001100412	DROSHA
NM_144722	SPEF2
NM_024867	SPEF2
NR_109951	OSMR-AS1
NR_104643	FLJ32255
NM_001164664	MAST4
NM_020928	ZSWIM6
NM_019072	SGTB
NM_138782	FCHO2
NM_001146032	FCHO2
NM_001164443	ANKRD31
NM_001256734	SSBP2
NM_001164097	VCAN
NM_001256732	SSBP2
NM_001256735	SSBP2
NM_001193350	MEF2C
NM_032119	GPR98
NR_003149	GPR98
NM_153234	LIX1
NM_024717	MCTP1
NM_001163418	FAM172A
NM_001163417	FAM172A
NM_032042	FAM172A
NM_001962	EFNA5
NM_001289004	SLCO6A1
NM_001204193	SRP19
NM_001204196	SRP19
NM_173800	AQPEP
NM_001204199	SRP19
NM_138773	SLC25A46
NM_001166226	CEP120
NM_133372	FNIP1
NM_133638	ADAMTS19
NM_001008738	FNIP1
NM_012159	FBXL21
NM_001037633	SIL1
NM_022464	SIL1
NM_004598	SPOCK1
NM_020768	KCTD16
NM_001271742	CSNK1A1
NM_001387	DPYSL3
NM_001271741	CSNK1A1
NM_001197294	DPYSL3
NM_001892	CSNK1A1
NM_015315	LARP1
NR_109877	LINC01470
NM_024007	EBF1
NM_001122679	TENM2
NM_001131055	HRH2
NM_001159708	BTNL8
NM_015043	TBC1D9B
NM_198868	TBC1D9B
NM_024850	BTNL8
NM_004174	SLC9A3
NM_001242412	AHRR
NM_020731	AHRR
NM_001284351	SLC9A3
NM_004237	TRIP13
NM_001044	SLC6A3
NR_003263	SDHAP3
NM_178569	C5orf38
NM_020546	ADCY2
NM_005885	MARCH6
NR_027112	LOC285692
NM_001270661	MARCH6
NM_001164440	ANKRD33B
NM_007118	TRIO
NM_001369	DNAH5
NM_054027	ANKH
NM_001102562	MARCH11
NR_104625	LOC101929505
NR_027253	LOC285696
NR_027026	GUSBP1
NR_027028	GUSBP1
NM_004932	CDH6
NM_016107	ZFR
NM_178140	PDZD2
NM_001040446	MTMR12
NM_001204375	NPR3
NM_001204376	NPR3
NM_000908	NPR3
NM_001012509	SLC45A2
NM_000949	PRLR
NM_015577	RAI14
NM_001145525	RAI14
NM_001145522	RAI14
NM_001042625	CAPSL
NM_005983	SKP2
NM_001243120	SKP2
NR_031764	UGT3A2
NM_001168316	UGT3A2
NM_174914	UGT3A2
NM_004298	NUP155
NM_152403	EGFLAM
NM_002310	LIFR
NM_182798	EGFLAM
NR_103554	LIFR-AS1
NM_001127671	LIFR
NM_199335	FYB
NM_003999	OSMR
NM_001737	C9
NM_206907	PRKAA1
NM_000436	OXCT1
NM_001115131	C6
NM_173489	MROH2B
NM_001005473	PLCXD3
NM_000163	GHR
NM_001242406	GHR
NM_012343	NNT
NM_153361	NIM1K
NM_182977	NNT
NR_072980	NIM1K
NM_003432	ZNF131
NM_021072	HCN1
NM_001178055	PARP8
NM_001178056	PARP8
NM_024615	PARP8
NM_181501	ITGA1
NR_073107	ITGA2
NM_002203	ITGA2
NR_073104	ITGA2
NR_073106	ITGA2
NM_002495	NDUFS4
NM_024669	ANKRD55
NM_003711	PPAP2A
NM_024415	DDX4
NM_001242637	IL31RA
NM_022913	GPBP1
NM_001203246	GPBP1
NM_001287053	LOC101928448
NM_152622	MIER3
NM_001197221	PDE4D
NM_001197222	PDE4D
NM_001145208	DEPDC1B
NM_173667	C5orf64
NM_001029875	RGS7BP
NM_001113561	RNF180
NM_005869	CWC27
NM_197941	ADAMTS6
NM_001799	CDK7
NM_022902	SLC30A5
NM_133342	RAD17
NR_027386	GUSBP3
NM_002538	OCLN
NM_001205255	OCLN
NM_001205254	OCLN
NM_022978	SERF1B
NR_033417	GTF2H2B
NM_021967	SERF1A
NR_029426	SMA4
NR_027386	GUSBP3
NR_034021	SMA5
NM_018429	BDP1
NM_022132	MCCC2
NM_001286751	MRPS27
NM_005909	MAP1B
NM_015084	MRPS27
NM_001284431	UTP15
NM_001080479	ARHGEF28
NM_001284430	UTP15
NM_001256574	ENC1
NR_046318	ENC1
NR_104006	GFM2
NM_001099271	POC5
NM_001130105	COL4A3BP
NM_005713	COL4A3BP
NM_016218	POLK
NM_001992	F2R
NR_024398	ZBED3-AS1
NR_105012	LOC101929154
NM_003664	AP3B1
NM_001271769	AP3B1
NM_017614	BHMT2
NM_005779	LHFPL2
NM_000046	ARSB
NM_001178005	BHMT2
NM_004866	SCAMP1
NM_178276	SERINC5
NM_153610	CMYA5
NM_004272	HOMER1
NM_001174071	SERINC5
NM_006909	RASGRF2
NM_205548	FAM151B
NM_002439	MSH3
NM_001131028	ATG10
NM_031482	ATG10
NR_003719	NBPF22P
NM_002890	RASA1
NR_105018	LOC101929380
NM_153354	TMEM161B
NM_001289008	TMEM161B
NM_001289007	TMEM161B
NR_109941	MEF2C-AS1
NR_109940	MEF2C-AS1
NM_006467	POLR3G
NR_027435	ARRDC3-AS1
NM_005654	NR2F1
NR_109825	NR2F1-AS1
NR_109822	NR2F1-AS1
NM_001145678	KIAA0825
NM_001243658	GLRX
NM_012081	ELL2
NM_198150	ARSK
NM_173060	CAST
NM_001284213	CAST
NM_005575	LNPEP
NM_175920	LNPEP
NM_001042440	CAST
NM_198507	FAM174A
NM_180991	SLCO4C1
NM_138821	PAM
NR_033440	PAM
NM_138766	PAM
NM_001281471	PPIP5K2
NR_103753	LINC00491
NR_103756	LINC00491
NR_103755	LINC00491
NR_103754	LINC00491
